row_id,gate_name,degeneracy,barrier,p_gate,p_mem,tau,err_truth,err_induced,H_out_given_in,rm_output
97,not,3,6,0,0.000123937608833,2,0.000123937608833,0.000123937608833,0.00178726756839,0.000495566124193
98,not,3,6,0,0.000123937608833,4,0.00037172067093,0.00037172067093,0.00477137691725,0.00049532047752
99,not,3,6,0.02,0.000123937608833,1,0.02,0.02,0.141440542542,0.0757025538971
100,not,3,6,0.02,0.000123937608833,2,0.0201189801045,0.0201189801045,0.142108061315,0.0756837891101
101,not,3,6,0.02,0.000123937608833,4,0.0203568518441,0.0203568518441,0.143439502498,0.0756462734888
102,not,3,6,0.05,0.000123937608833,1,0.05,0.05,0.286396957116,0.171361357276
103,not,3,6,0.05,0.000123937608833,2,0.0501115438479,0.0501115438479,0.286870598482,0.171318881042
104,not,3,6,0.05,0.000123937608833,4,0.0503345486038,0.0503345486038,0.287816399225,0.171233960159
105,not,3,6,0.1,0.000123937608833,1,0.1,0.1,0.468995593589,0.288253792765
106,not,3,6,0.1,0.000123937608833,2,0.100099150087,0.100099150087,0.469309813159,0.288182341793
107,not,3,6,0.1,0.000123937608833,4,0.100297376537,0.100297376537,0.469937546745,0.288039492978
