p_leak,tau,lens_type,lens_id,rm,stability,error
0.05,2,random,20,1.11022302463e-16,0.905,0.095
0.05,2,random,21,0.0225,0.5,0.4975
0.05,2,random,22,0.0225,0.5,0.4975
0.05,2,random,23,0.0045,0.5,0.4875
0.05,2,random,24,1.11022302463e-16,0.905,0.095
0.05,2,random,25,1.11022302463e-16,0.905,0.095
0.05,2,random,26,0.0225,0.5,0.4975
0.05,2,random,27,0.0045,0.5,0.4875
0.05,2,random,28,1.11022302463e-16,0.905,0.095
0.05,2,random,29,0.0225,0.5,0.4975
0.05,2,random,3,1.11022302463e-16,0.905,0.095
0.05,2,random,30,0.0045,0.5,0.4875
0.05,2,random,31,0.0225,0.5,0.4975
0.05,2,random,32,1.11022302463e-16,0.905,0.095
0.05,2,random,33,0.0225,0.5,0.4975
0.05,2,random,34,0.0225,0.5,0.4975
0.05,2,random,35,1.11022302463e-16,0.905,0.095
0.05,2,random,36,1.11022302463e-16,0.905,0.095
0.05,2,random,37,0.0045,0.5,0.4875
0.05,2,random,38,0.0045,0.5,0.4875
0.05,2,random,39,0.0045,0.5,0.4875
0.05,2,random,4,0.0045,0.5,0.4875
0.05,2,random,40,0.0045,0.5,0.4875
0.05,2,random,41,0.0225,0.5,0.4975
0.05,2,random,42,0.0225,0.5,0.4975
0.05,2,random,43,1.11022302463e-16,0.905,0.095
0.05,2,random,44,1.11022302463e-16,0.905,0.095
0.05,2,random,45,0.0045,0.5,0.4875
0.05,2,random,46,1.11022302463e-16,0.905,0.095
0.05,2,random,47,0.0045,0.5,0.4875
0.05,2,random,48,0.0045,0.5,0.4875
0.05,2,random,49,0.0225,0.5,0.4975
0.05,2,random,5,0.0045,0.5,0.4875
0.05,2,random,50,0.0045,0.5,0.4875
0.05,2,random,51,1.11022302463e-16,0.905,0.095
0.05,2,random,52,0.0225,0.5,0.4975
0.05,2,random,53,1.11022302463e-16,0.905,0.095
0.05,2,random,54,0.0045,0.5,0.4875
0.05,2,random,55,0.0225,0.5,0.4975
0.05,2,random,56,0.0225,0.5,0.4975
0.05,2,random,57,1.11022302463e-16,0.905,0.095
0.05,2,random,58,0.0225,0.5,0.4975
0.05,2,random,59,1.11022302463e-16,0.905,0.095
0.05,2,random,6,1.11022302463e-16,0.905,0.095
0.05,2,random,7,0.0045,0.5,0.4875
0.05,2,random,8,0.0225,0.5,0.4975
0.05,2,random,9,0.0045,0.5,0.4875
0.05,4,and,,0.21384,0.70269,0.30846
0.05,4,parity,,6.93889390391e-17,0.82805,0.17195
0.05,4,random,0,0.018225,0.5,0.4975
0.05,4,random,1,0.003645,0.5,0.4875
0.05,4,random,10,0.018225,0.5,0.4975
0.05,4,random,11,6.93889390391e-17,0.82805,0.17195
0.05,4,random,12,0.018225,0.5,0.4975
0.05,4,random,13,0.018225,0.5,0.4975
0.05,4,random,14,0.018225,0.5,0.4975
0.05,4,random,15,0.018225,0.5,0.4975
0.05,4,random,16,0.003645,0.5,0.4875
0.05,4,random,17,0.003645,0.5,0.4875
0.05,4,random,18,6.93889390391e-17,0.82805,0.17195
